"","scenario","No fishing","-50% demersal fishing","+25% demersal fishing","+75% demersal fishing","seal biomass X 2","seal biomass X 10"
"1","Birds","1.79693568677118","1.35587467546121","0.843653360780585","0.569764635116106","0.983487153754323","0.00998804079168319"
"2","Harbor Porpoise","1.00824867865844","1.0041005008555","0.998312279098936","0.995710966464739","0.999943108191055","0.991280762153239"
"3","Seals","1","1","1","1","2.00000035463734","10"
"4","Ad.Cod","1.19545573246822","1.07393850287886","0.957173661058755","0.882881945481126","0.999437467534027","0.965937700195455"
"5","Juv.Cod","0.860203773577921","0.937391639310617","1.02400387895375","1.07386990341218","0.998651708067609","0.702729720747397"
"6","Ad.Plaice","1.02871277058319","1.01553269121835","0.991172139671923","0.970717804467855","0.999299177409856","0.814832586395905"
"7","Juv.Plaice","0.975047746993709","0.987182579977891","1.00649809968507","1.01778624141217","0.995031675024437","0.427867114726393"
"8","Sole","0.978213394684325","0.989372072494938","1.00522091950544","1.01492853827039","1.00158923529065","1.21243862646685"
"9","Dab","1.1521871400213","1.07231126495358","0.967104869693978","0.90136342823187","0.999069162587203","0.306846147584042"
"10","Flounder","1.19603998848155","1.09179577064685","0.958450248228952","0.879551890447791","0.99756601506652","0.0313483797879185"
"11","Ad.Whiting","1.65548719329084","1.26087997797239","0.907744782599896","0.75243043343681","1.00071049922697","1.05285661899481"
"12","Juv.Whiting","0.776351507999332","0.912466540183163","1.02386612579774","1.05216406092211","1.00068191199911","1.1378234559099"
"13","Blue Whiting","1.23612597657809","1.10452219745046","0.955615943547824","0.882916165440788","1.00364127980168","1.35931143025973"
"14","Norway pout","1.21748110136909","1.10225826062723","0.953094229594244","0.865196711515404","1.0001399778985","1.04691259761742"
"15","Sandeel","0.675680474279396","0.903263193247737","1.00630337507032","0.99618908052056","0.996871806078251","0.105098734084687"
"16","Herring","1.04987440443578","1.02599933279996","0.98920515362906","0.967136746804148","1.00016488768124","1.02750454327436"
"17","Sprat","1.15010673233877","1.07768115618381","0.962365496938222","0.892103947502215","0.999828908080384","0.964924829759159"
"18","Mesozooplankton","0.998404866433282","0.999221471202251","1.00035561954349","1.00116292391611","1.00002055788496","1.00747390294857"
"19","Shrimps and mysids","1.8268262165567","1.34002508363075","0.871056379964981","0.651503634846321","1.011800782188","4.11653754097403"
"20","Echinodermata","1.10177559681198","1.04872120836251","0.97779844221432","0.932579326845888","1.00015810170152","1.01840964375185"
"21","Polychaeta","0.977084364152522","0.988404812850047","1.00572723098707","1.01753707759527","1.00006754261274","0.989088591991154"
"22","Nephrops","1.10097634942935","1.0491774486422","0.976022679914658","0.932414099046272","1.00199055574135","1.4321500652601"
"23","Crustaceans","0.496089574402047","0.758938558609943","1.10999872190103","1.33718060744136","1.00201726837411","1.61421624172664"
"24","Molluscs","1.05784805259835","1.02771373075794","0.987276649506046","0.960666041705855","0.999794545646894","0.898076130306143"
"25","Gelatinous zooplankton","0.845187321204345","0.916335928064342","1.04596847409156","1.1475519134016","1.01348209159428","7.80548149293857"
"26","Meiofauna","1.00365338699964","1.00185071400807","0.999084554701298","0.997221872217121","0.999983783428319","1.00196580720121"
"27","Phytoplankton","0.996031349698667","0.99806814053323","1.00090654347987","1.00283269460117","1.00000814009295","1.00566624839629"
"28","Benthic microalgae","1.00038436745283","1.00019095485409","0.999908085950636","0.999714677035309","0.999996407944813","0.999354983308278"
"29","Detritus","0.999691066953927","0.999853280270751","1.00006642429766","1.00022611114801","1.00000100119701","1.00145014825109"
