"","group_n","-50% demersal fishing","+25% demersal fishing","+75% demersal fishing","No fishing","seal biomass X 10","seal biomass X 2"
"1","Ad.Cod",0.893422282880614,1.0406765550672,1.11105591070834,1.04617827263638,0.967355896140709,0.999515936961279
"2","Ad.Plaice",0.934570956763537,1.03103260409807,1.08722459544609,0.988759358856309,0.866147340673666,0.999736290366311
"3","Ad.Whiting",0.957401190207658,1.01531443787607,1.02379655881791,1.25477781104689,1.03363748229261,1.00048961459001
"4","Blue Whiting",0.86551855490557,1.05914438747911,1.16528507408502,1.01904067258927,1.26915347223282,1.00277030228477
"5","Crustaceans",0.72973655714735,1.14847764171544,1.48433635358529,0.638495242132189,1.42904965013708,1.00143561974054
"6","Dab",0.845223467621383,1.0703410328916,1.18937908356093,0.96932456471009,0.503460393756152,0.99926942468689
"7","Flounder",0.962613867390568,1.01566259403693,1.0380903777954,1.08367154151563,0.298367644004068,0.998100106312019
"8","Herring",0.821024933516929,1.08741617860526,1.25081172293463,0.917019094291496,1.01889456668994,1.0001167966707
"9","Juv.Cod",0.808889782599776,1.09633125790706,1.29492654341828,0.837119382927402,0.769127797547693,0.99891681827277
"10","Juv.Plaice",0.914600061257435,1.04344625294767,1.12785256026781,0.94958176555834,0.560344919990446,0.997359710561141
"11","Juv.Whiting",0.758888598356422,1.11582949080997,1.33371037903563,0.771565899302251,1.09580832336982,1.0004806046045
"12","Nephrops",0.631331373627834,1.17146830122982,1.4843582857488,0.602489082608362,1.30214758932771,1.00141165447953
"13","Norway pout",0.794177970594617,1.08706653017568,1.22814744753762,0.922852961013415,1.0328421011108,1.00009187460755
"14","Sandeel",0.758496730380742,1.10003529423364,1.27627452524262,0.73135387363098,0.374868605063232,0.99771809373397
"15","Shrimps and mysids",0.729895158705299,1.08299441386034,1.15297322324809,0.60246888704124,3.16906142891354,1.00830345352858
"16","Sole",0.897017598050133,1.05209554686391,1.15430819351205,0.942303912113616,1.15904282020636,1.00118100910128
"17","Sprat",0.851474039899285,1.06408056820123,1.17270377815461,0.974624223704487,0.975844587786357,0.999883458539434
