GRP,NAM
M,Baleen.whales
M,Toothed.whales
M,Seals
B,Surface.feeding.seabirds
D,Juvenile.sharks
D,Spurdog
D,Large.piscivorous.sharks
D,Small.sharks
D,Juvenile.rays
D,Starry.ray...others
D,Thornback...Spotted.ray
D,Skate...cuckoo.ray
D,Cod..juvenile.0.2.
D,Cod..adult.
D,Whiting..juvenile.0.1.
D,Whiting..adult.
D,Haddock..juvenile.0.1.
D,Haddock..adult.
D,Saithe..juvenile.0.3.
D,Saithe..adult.
D,Hake
P,Blue.whiting
D,Norway.pout
D,Other.gadoids..large.
D,Other.gadoids..small.
D,Monkfish
D,Gurnards
P,Herring..juvenile.0.1.
P,Herring..adult.
P,Sprat
P,Mackerel
P,Horse.mackerel
D,Sandeels
D,Plaice
D,Dab
D,Long.rough.dab
D,Flounder
D,Sole
D,Lemon.sole
D,Witch
D,Turbot
D,Megrim
D,Halibut
D,Dragonets
D,Catfish..Wolf.fish.
D,Large.demersal.fish
D,Small.demersal.fish
P,Miscellaneous.filterfeeding.pelagic.fish
O,Squid...cuttlefish
O,Fish.larvae
O,Carnivorous.zooplankton
O,Herbivorous...Omnivorous.zooplankton..copepods.
O,Gelatinous.zooplankton
O,Large.crabs
O,Nephrops
O,Epifaunal.macrobenthos..mobile.grazers.
O,Infaunal.macrobenthos
O,Shrimp
O,Small.mobile.epifauna..swarming.crustaceans.
O,Small.infauna..polychaetes.
O,Sessile.epifauna
O,Meiofauna
O,Benthic.microflora..incl.Bacteria.protozoa..
O,Planktonic.microflora..incl.Bacteria.protozoa.
B,Diving.seabirds
O,Phytoplankton
O,Detritus...DOM..water.column
O,Detritus...POM...sediment
O,Discards
